Video ID,Channel name,Time of Publishing,Title,Genre,Comment,corrected_text,generated_reason
nwColGRLRew,Bongo,2023-11-17T08:00:09Z,GPL | Bangla Telefilm 2023 | Shamim Hasan Sarkar | Faria Shahrin | Zibon | Shahid Un Nabi,Entertainment,বাংলা নাটকের মান কমতে কমতে আর কমার জায়গা নাই।,"বাংলা নাটকের মান কমতে কমতে তলানিতে এসে ঠেকেছে/ঠেকেছে, আর কমার জায়গা নেই।","কমার জায়গা নাই - তলানিতে এসে ঠেকেছে/ঠেকেছে, আর কমার জায়গা নেই।"
qumC5k372kg,AdvuTurea,2019-02-28T13:37:59Z,ভারত পাকিস্থান ১৯৭১/The Story Behind 1971 Indo-Pakistan war || Bengali ||,Miscellaneous,অসাধারণ ধন্যবাদ এমন ভিডিও দেওয়ার জন্য,"অসাধারণ, ধন্যবাদ এমন ভিডিও দেওয়ার জন্য।","অসাধারণ ধন্যবাদ-অসাধারণ, ধন্যবাদ, দেওয়ার-দেওয়ার।"
Es87rmwiYnA,Channel 24,2023-09-29T03:02:13Z,কঠোর নিরাপত্তায় সড়কপথে পাবনায় যাচ্ছে রূপপুরের ইউরেনিয়াম | Ruppur Uranium Fuel | Channel 24,News,মাশাআল্লাহ সব শেখ হাসিনার অবদান এগিয়ে যাবে বাংলাদেশ তার হাত ধরে কোন অপশক্তি থামাতে পারবে না,"মাশাআল্লাহ, সব শেখ হাসিনার অবদান। এগিয়ে যাবে বাংলাদেশ তাঁর হাত ধরে, কোনো অপশক্তি থামাতে পারবে না।","সব-সব, তার-তাঁর, কোন-কোনো, কমা(,) যুক্ত করা হয়েছে এবং বাক্যটিকে সুস্পষ্ট করার জন্য সাজানো হয়েছে।"
PfHxLcgVaxE,BBC News বাংলা,2021-05-30T14:15:51Z,জিয়াউর রহমান: বিএনপির প্রতিষ্ঠাতা ও সাবেক রাষ্ট্রপতির মৃতদেহের খোঁজ মিলে যেভাবে | BBC Bangla,News,আপনার মত নেতাকে কখনোই বাঙালি ভুলতে পারবেনা বাঙালি হারিয়েছি বীর সাহসী মুক্তিযোদ্ধা জিয়াউর রহমানকে,"আপনার মতো নেতাকে কখনোই বাঙালি ভুলতে পারবে না। বাঙালি হারিয়েছে বীর, সাহসী মুক্তিযোদ্ধা জিয়াউর রহমানকে।","মত - মতো, পারবেনা - পারবে না, বাঙালি ভুলতে পারবেনা বাঙালি - বাঙালি ভুলতে পারবে না। বাঙালি, হারিয়েছি - হারিয়েছে।"
PfaSln6Ykdc,Tech to the Point - TTP,2023-06-06T14:44:44Z,লোডশেডিং আর গরমের চুড়ান্ত সমাধান Jisulife FA13R Rechargeable Fan,Miscellaneous,"ফ্যানের যে সাইজ,টাকা নষ্ট ছাড়া আর কিছু নয়।","ফ্যানের এই সাইজ, টাকা নষ্ট করা ছাড়া আর কিছু নয়।","যে - এই, নষ্ট ছাড়া - নষ্ট করা ছাড়া।"
24GngnukIFY,G Series Music,2016-02-29T08:39:11Z,Ke Tumi || কে তুমি || Tahsan | MD. Kanak || Bangla New Music Video || G Series Bangla Song 2020,Entertainment,অসাধারণ অনন্য যা ভাষায় সহজে প্রকাশ করা যায় না,"অসাধারণ, অনন্য যা ভাষায় সহজে প্রকাশ করা যায় না।","Added a comma after ""অসাধারণ"" to separate the adjectives."
MOh4bZuzcCc,Labib Hossain Joy,2022-05-04T13:00:15Z,রাঙ্গামাটি ভ্রমণের সবকিছু এক ভিডিওতে | Rangamati Day Tour Plan | শুভলং ঝর্না | কাপ্তাই লেক 🇧🇩,Entertainment,রাঙ্গামাটি যাওয়ার খুব ইচ্ছে আমার,রাঙ্গামাটি যাওয়ার আমার খুব ইচ্ছে।,Sentence structure was improved for better flow: খুব ইচ্ছে আমার - আমার খুব ইচ্ছে।
nK4mNiNBEFI,Open T School,2022-10-23T14:21:33Z,বাংলাদেশের সরকার প্রধানেরা যেভাবে ক্ষমতায় এলেন ও গেলেন | Politics of Bangladesh | BD Elections |,Politics,১১ জানুয়ারি জরুরি অবস্থা ঘোষণা করা হয়,১১ জানুয়ারি জরুরি অবস্থা ঘোষণা করা হয়।,Added period to the end of the sentence.
-m8yrtD3Ak8,Farjana Drawing Academy,2017-03-13T14:36:50Z,How to draw scenery of Language Movement Step by step || Art video,Miscellaneous,আপু তোমার ছবি আঁকাটা অনেক সুন্দর,"আপু, তোমার ছবি আঁকাটা অনেক সুন্দর।","আপু তোমার - আপু, তোমার।"
pKBgw89ifis,BBC News বাংলা,2023-02-10T15:09:39Z,তুরস্কের চেয়ে ভয়াবহ ভূমিকম্পের ঝুঁকিতে বাংলাদেশ | BBC Bangla,News,আল্লাহ আমাদের দেশকে রক্ষা করুন,আল্লাহ আমাদের দেশকে রক্ষা করুন।,No changes needed.
5DL10pkgnOw,Enayet Chowdhury,2023-09-28T11:00:04Z,হিন্দি সিনেমা আনা বন্ধ হলেই সব ঠিক হবে না যে কারণে । Bollywood in Bangladesh | Enayet Chowdhury,Miscellaneous,স্যার জি বাংলা কি আপনি দেখেন নাকি ম্যাড্যাম এ দেখে 🤔By the way nice information take love from Mymensingh❤❤,"স্যার, জি বাংলা কি আপনি দেখেন নাকি ম্যাডাম দেখেন? 🤔 যাইহোক, সুন্দর তথ্যের জন্য ভালোবাসা রইলো, ময়মনসিংহ থেকে। ❤❤","জি বাংলা কি আপনি দেখেন নাকি ম্যাড্যাম এ দেখে - জি বাংলা কি আপনি দেখেন নাকি ম্যাডাম দেখেন?, By the way nice information take love from Mymensingh - যাইহোক, সুন্দর তথ্যের জন্য ভালোবাসা রইলো, ময়মনসিংহ থেকে।"
16IJh8Quuv8,BBC News বাংলা,2021-03-24T13:00:15Z,যে প্রেম কাহিনী কোন বাধা মানেনি | BBC Bangla,News,এমন একজন জীবন সঙ্গিনী পাওয়া সত্যি সত্যিই ভাগ্যের ব্যাপার।এমন একজন অর্ধাঙ্গিনী পাওয়া আল্লাহর পক্ষ থেকে সবচেয়ে বড় নিয়ামত 💜,এমন একজন জীবনসঙ্গিনী পাওয়া সত্যিই ভাগ্যের ব্যাপার। এমন একজন অর্ধাঙ্গিনী পাওয়া আল্লাহর পক্ষ থেকে সবচেয়ে বড় নেয়ামত। 💜,"সত্যিই - সত্যিই (Spelling correction), নিয়ামত - নেয়ামত (Spelling correction)."
qMWL8kGW9jY,CINEMAWALA natok,2023-04-15T09:00:24Z,"মন দিয়ে ভালোবাসা হয়, পোষাকে না। | AFRAN NISHO & TANJIN TISHA | X boyfriend Natok",Entertainment,আমার দেখা  সব নাটকের মাঝে  সেরা একটি নাটক❤❤❤❤❤❤❤😊😊😊😊😊,আমার দেখা সব নাটকের মধ্যে সেরা একটি নাটক।,"মাঝে-মধ্যে, ❤❤❤❤❤❤❤😊😊😊😊😊- removed unnecessary emoticons."
7izt614wtgI,Eagle Music Video Station,2016-07-05T21:08:16Z,BAHUDORE | Imran | Brishty | Official Music Video | 2016,Entertainment,গান নয় যেন বাস্তব চরিত্র❤❤,"গান নয়, যেন বাস্তব চরিত্র।","যেন-যেন, ❤❤-removed."
rBrpWoozEHc,Media news Bangla,2021-05-19T15:54:48Z,যে কারনে মাশরাফির এই ভিডিও সুপার ভাইরাল | Mashrafe Bin Mortaza,Politics,মাশরাফি ভাইয়ের মতো নেতা যদি বাংলাদেশের সব জেলায় থাকতো তাহলে আজ আমাদের দেশের অবস্থা শ্রিলঙ্কার মতো হতো না।,"মাশরাফি ভাইয়ের মতো নেতা যদি বাংলাদেশের সব জেলায় থাকত, তাহলে আজ আমাদের দেশের অবস্থা শ্রীলঙ্কার মতো হতো না।",থাকতো-থাকত
I9Vmc-jfspc,Channel 24,2023-08-10T17:47:49Z,১০০০ টাকার বাজার নিয়ে ভোক্তা অধিদপ্তরে | আমার কিছু বলার আছে | Amar Kichu Bolar Ache | Channel 24,News,আল্লাহ তুমি আমাদের এই দ্রব্যমূল্যের এই দামের থেকে রক্ষা করো😢।,আল্লাহ তুমি আমাদের এই দ্রব্যমূল্যের দাম থেকে রক্ষা করো।,এই দ্রব্যমূল্যের এই দামের - এই দ্রব্যমূল্যের দাম।
onNXCzLaSGI,Anupam Movies,2018-12-16T09:30:00Z,Ora Egaro Jon | ওরা এগারো জন | Khoshru Razzak & Shabana | Bangla Full Movie,Entertainment,20 বছর আগে দেখছিলাম আবার দেখছি কুয়েত থেকে প্রবাসী,"২০ বছর আগে দেখেছিলাম, আবার দেখছি কুয়েত থেকে, প্রবাসী।","দেখছিলাম-দেখেছিলাম, প্রবাসী-প্রবাসী।"
62d6PfZxky0,Bangla Bhuter Golpo,2023-01-16T13:00:48Z,Bhuter Cartoon - Railway Station at 2am Night (True Story) Train Horror Story | Bangla Bhuter Golpo,Entertainment,আমরা কিভাবে নিজেদের সাথে ঘটে যাওয়া গল্প পাঠাবো  আপনাদের কাছে,আমরা কিভাবে নিজেদের সাথে ঘটে যাওয়া গল্প আপনাদের কাছে পাঠাব?,পাঠাবো - পাঠাব।
M3GPq-t83RU,Shihab Hossain,2021-02-22T11:38:16Z,Oviman - lyrics | অভিমান | Tumi Bujhoni​ Ami Bolini​ | Tanveer Evan | Piran Khan | Bangla Song 2021,Entertainment,One sided lovers can relate the lyrics. কিছু না বলা কথাগুলো লেখকেরা গানের মাধ্যমে প্রকাশ করে যা আমরা অনেকেই পারি না,One sided lovers can relate to the lyrics. কিছু না বলা কথাগুলো লেখকেরা গানের মাধ্যমে প্রকাশ করে যা আমরা অনেকেই পারি না।,relate-relate to.
CSGiwf7KlrQ,KAMRUF Multimedia,2012-12-27T13:47:46Z,"Bangladesh National Anthem , My golden Bengal আমার সোনার বাংলা, Amar Shonar Bangla   -  HD HQ",Entertainment,শুনলেই চোখের পানি চলে আসে🥰🥰,শুনলেই চোখে পানি চলে আসে।,চোখের-চোখে।
Y5j9KLtRb2g,BBC News বাংলা,2021-08-19T06:00:11Z,তালেবান যোদ্ধারা আফগানিস্তান ও পাকিস্তান সীমান্তের পাহারায় | BBC Bangla,News,এগুলো জনগণ এখন খায় না৷,এগুলো জনগণ এখন খায় না।,No changes needed.
4l7XENQDvJQ,Desh TV News,2024-01-12T16:00:07Z,স্বাস্থ্যখাতে দুর্নীতি খতিয়ে দেখার আশ্বাস ডা. সামন্ত লাল সেনের | Health Minister | Desh TV,News,"জনগণের হয়ে গরীব দুঃখীর পাশে থাকলে, হাজারো মজলুম এর দোয়া আপনি পাবেন","জনগণের হয়ে গরীব দুঃখীর পাশে থাকলে, হাজারো মজলুমের দোয়া আপনি পাবেন।",মজলুম - মজলুমের; এর-এর removed.
zHsfmphP_nE,TEDx Talks,2019-02-13T15:34:37Z,বাঙালীর সংস্কৃতিমনস্কতা কি কমে যাচ্ছে? | Chandril Bhattacharya | TEDxHITKolkata,Miscellaneous,অসংখ্য ধন্যবাদ আপনাকে। যখন শুনি কেউ বলে আমার বাংলাটা ঠিক আসেনা মনে হয়  একটু থাবরে দেই 🙃🙃🙃,"অসংখ্য ধন্যবাদ আপনাকে। যখন শুনি কেউ বলে আমার বাংলাটা ঠিক আসে না, মনে হয় একটু থাপ্পড় দেই 🙃🙃🙃","আসেনা-আসে না, থাবরে-থাপ্পড়।"
8SVGwlBJq0M,SOMOY TV,2023-04-14T16:10:00Z,"নেচে-গেয়ে নববর্ষ উদযাপন, অপশক্তি রুখতে হুঁশিয়ারি | Bangla New Year 1430 | Somoy TV",News,রোজা রেখে যারা এই উৎসব পালন করছে তাঁরা মুসলমান হতে পারে না আল্লাহ সবাই কে হেফাজত করুক আমিন,"রোজা রেখে যারা এই উৎসব পালন করছে তারা মুসলমান হতে পারে না। আল্লাহ সবাইকে হেফাজত করুক, আমিন।","তাঁরা - তারা, সবাই কে - সবাইকে, করুক আমিন - করুক, আমিন।"
zHsfmphP_nE,TEDx Talks,2019-02-13T15:34:37Z,বাঙালীর সংস্কৃতিমনস্কতা কি কমে যাচ্ছে? | Chandril Bhattacharya | TEDxHITKolkata,Miscellaneous,বর্তমান বাংলার একমাত্র ব্যক্তিত্ব যাকে আমি চরম শ্রদ্ধার চোখে দেখি,"বর্তমান বাংলার একমাত্র ব্যক্তিত্ব, যাঁকে আমি চরম শ্রদ্ধার চোখে দেখি।","যাকে-যাঁকে, :- ,।"
25md9g9P3qo,ATN Bangla News,2023-11-02T13:35:18Z,গণভবনের সামনে সাবেক স্বরাষ্ট্র প্রতিমন্ত্রী সোহেল তাজের অবস্থান | Sohel Taj | ATN Bangla News,Politics,"এটা সময়ের দাবি, আমাদের দেশে চার নেতার ও সকল শহীদের সমান সম্মান প্রদর্শন করা হোক 💝","এটা সময়ের দাবি, আমাদের দেশে চার নেতা ও সকল শহীদের সমান সম্মান প্রদর্শন করা হোক।",ও-ও।
jqNXRYYvRxA,BigganPiC,2023-04-10T08:00:30Z,ঋতু পরিবর্তন এবং মরুভূমি Season change on earth and Desert explained in Bangla Ep 107,Miscellaneous,ছোট ভাই অসাধারণ তোমার কাজ।  দোয়া করি এগিয়ে যাও অনেক দূর।  আর কখনো যদি পলাশ আসো তাহলে অবশ্যই যোগাযোগ করবে। ❤,"ছোট ভাই, অসাধারণ তোমার কাজ। দোয়া করি এগিয়ে যাও অনেক দূর। আর কখনো যদি পলাশে আসো, তাহলে অবশ্যই যোগাযোগ করবে। ❤️","ভাই - ভাই, (added comma): Added a comma for better readability; দোয়া - দোয়া: Corrected spelling; পলাশ - পলাশে: Corrected case; আসো - আসো,: Added a comma for better readability; করবে - করবে।: Added a period for sentence completion."
dpPMG1uz5Cc,Eagle Premier Station,2020-06-02T09:00:16Z,Moddhobitto | মধ্যবিত্ত | Eid Natok 2020 | Afran Nisho | Tanjin Tisha | New Natok 2020,Entertainment,"বাস্তবতাটা যে কতটা কঠিন, সেটা মধ্যবিত্ত পরিবারের ছেলে না হলে সঠিকভাবে বোঝা যায় না।","বাস্তবতা যে কতটা কঠিন, সেটা মধ্যবিত্ত পরিবারের ছেলে না হলে সঠিকভাবে বোঝা যায় না।",যায় - যায়।
apvO0yvarOs,Suranjoli Prime,2023-11-02T06:30:04Z,না বলা কথা | Na Bola Kotha | Apurba | Tasnia Farin | Bangla Natok | Bangla New Natok 2023,Entertainment,নাটকটা খুবই সুন্দর। তবে অনেক আগের নাটক আবার নতুন করে আপলোড দেয়া হয়েছে।,"নাটকটা খুবই সুন্দর। তবে এটি অনেক আগের নাটক, যা আবার নতুন করে আপলোড করা হয়েছে।","অনেক আগের নাটক আবার নতুন করে আপলোড দেয়া হয়েছে - এটি অনেক আগের নাটক, যা আবার নতুন করে আপলোড করা হয়েছে।"
ieUartdHkUU,Anupam Movies,2023-07-04T11:00:36Z,ও সাথী আমার তুমি কেন চলে যাও | Bapparaj | Shabnur | Amar Ontore Tumi | Movie Scene,Entertainment,এই গান আমার মনটা অনেক টা সেই দিনের কথা মনে করে দেয় ভাই 😅😅😅❤❤❤,"এই গান আমার মনকে/মনটা সেই দিনের কথা মনে করিয়ে দেয়, ভাই।","অনেক টা - [removed], মনে করে দেয় - মনে করিয়ে দেয়, ভাই - ভাই।"
bKs3AV8rwlg,Anupam Movie Songs,2018-10-11T05:00:01Z,Nil Akasher Niche | নীল আকাশের নীচে | Razzak | Khandokar Faruk Ahmed | Nil Akasher Niche,Entertainment,"আমার মত ২০২০ সালেও কে শুনছেন এই গান,লাইক দিয়ে জানান দিন।","আমার মতো ২০২০ সালেও কে শুনছেন এই গান, লাইক দিয়ে জানিয়ে দিন।","মত-মতো, জানান দিন-জানিয়ে দিন।"
