Video ID,Channel name ,Time of Publishing,Title,Genre,Comment,Error,Category,Correct Form,corrected_text,generated_reason
Zn8mjANFVtc,BD News Archive,2023-11-04T11:00:27Z,"সংসদে খালেদা জিয়া শেখ হাসিনার খুনসুটি, আহা কি ছিলো সেইসব দিন",Entertainment,ইনশাআল্লাহ আবারো সংসদে প্রধানমন্ত্রী হিসেবে দেখব 2024 সালে ইনশাআল্লাহ ইনশাআল্লাহ,1,Spelling,ইনশাআল্লাহ আবারও সংসদে প্রধানমন্ত্রী হিসেবে দেখবো 2024 সালে ইনশাআল্লাহ ইনশাআল্লাহ,ইনশাআল্লাহ ২০২৪ সালে আবারও প্রধানমন্ত্রী হিসেবে সংসদে দেখব।,"আবারো - আবার, দেখব 2024 সালে ইনশাআল্লাহ ইনশাআল্লাহ-২০২৪ সালে আবারও প্রধানমন্ত্রী হিসেবে সংসদে দেখব।"
cNLTHbY1Ndk,Eagle Movies,2017-12-09T10:37:15Z,Golapi Ekhon Traine | Bangla Full Movie | Farooque | Bobita | Tarana Halim | ATM Shamsuzzaman,Entertainment ,পিতা পুত্র ছবিটা দিলে কৃতজ্ঞ থাকব ।,1,Spelling,পিতা পুত্র ছবিটা দিলে কৃতজ্ঞ থাকবো ।,পিতা-পুত্রের ছবিটি দিলে কৃতজ্ঞ থাকব।,"পুত্র-পুত্রদের/পিতা ও পুত্রের, ছবিটা-ছবিটি।"
qB6k5BLh-yk,Channel 24 Entertainment,2023-01-01T12:08:59Z,"নিলয়-হিমি জুটির সফলতার রহস্য কী? । Niloy, Himi । Channel 24",Entertainment,আমার যত নাটক দেখেছি তার মধ্যে অন্যতম ঝুটি❤❤❤,1,Spelling,আমার যতো নাটক দেখেছি তার মধ্যে অন্যতম জুটি❤❤❤,আমার যত নাটক দেখেছি তার মধ্যে অন্যতম জুটি।,ঝুটি-জুটি।
OnRi6e6aiXQ,BBC News বাংলা,2021-10-15T15:39:29Z,"পূজা মণ্ডপে কোরআন: ঢাকা ও নোয়াখালীতে জুমার নামাজের পর বিক্ষোভ, সংঘর্ষ ও হামলা | BBC Bangla",News,আমি এতদিন জানতাম যে মানুষ উপসনালয় থেকে বের হওয়ার পর তাদের মন স্থির থাকে এবং শান্ত স্বভাবের হয়ে যায়।এটি কেমন ধর্ম যেটি মানুষকে উপসনালয়ে উগ্রতা সেখায়?,1,Spelling,আমি এতদিন জানতাম যে মানুষ উপসনালয় থেকে বের হওয়ার পর তাদের মন স্থির থাকে এবং শান্ত স্বভাবের হয়ে যায়।এটি কেমন ধর্ম যেটি মানুষকে উপাসনালয়ে উগ্রতা শেখায়?,"আমি এতদিন জানতাম যে মানুষ উপাসনালয় থেকে বের হওয়ার পর তাদের মন স্থির থাকে এবং তারা শান্ত স্বভাবের হয়ে যায়। এটা কেমন ধর্ম, যেটি মানুষকে উপাসনালয়ে উগ্রতা শেখায়?","উপসনালয়-উপাসনালয়, এটি-এটা, সেখায়-শেখায়।"
jT1xhILob9A,Channel 24,2022-08-14T15:00:32Z,“এই আ’লীগের পতন দরকার” বললেন- সাবেক আওয়ামী লীগ নেতা,Politics,স্যার আপনাকে আমৃত্যু প্রযন্ত সেলুট,1,Spelling,স্যার আপনাকে আমৃত্যু প্রযন্ত স্যালুট,স্যার আপনাকে আমৃত্যু পর্যন্ত সেলাম/স্যালুট।,"প্রযন্ত-পর্যন্ত, সেলুট-সেলাম/স্যালুট।"
zSF8cnCgKyE,Prothom Alo Entertainment,2021-10-17T15:00:37Z,"চিত্রনায়িকা শাবনূর, মৌসুমী, শাবানা ও ববিতাকে নকল করে সংবাদ পাঠ করলেন পূর্ণিমা | Purnima",Entertainment,শাবনুর আর ববিতার টা বালো হয়েছে,1,Spelling,শাবনুর আর ববিতার টা ভালো হয়েছে,শাবনূর আর ববিতার টা ভালো হয়েছে।,বালো-ভালো।
iA3SBKP8DCU,Ekattor TV,2023-08-12T07:57:24Z,বাধ্য হয়েই সুযোগ দেয়া হয়েছে তামিমকে ? | Tamim Iqbal | Riyad | Cricket | Ekattor TV,Sports,ভাইয়ের কথাগুলো একদম রাইট যেমন আফিফ বড় টিমের বিপক্ষে তার ভালো পারফরম্যান্স নাই আফিফ তার ইন্টারন্যাশনাল ক্যারিয়ারে দোবাই জিম্বাবুয়ে আফগানিস্তান তা ছাড়া কোন দেশের বিপক্ষে ভালো খেলতে পারে নাই,1,Code Switching,ভাইয়ের কথাগুলো একদম সঠিক যেমন আফিফ বড় দলের বিপক্ষে তার ভালো অবদান নাই আফিফ তার আন্তর্জাতিক কর্মজীবনে দোবাই জিম্বাবুয়ে আফগানিস্তান তা ছাড়া কোন দেশের বিপক্ষে ভালো খেলতে পারে নাই,"ভাইয়ের কথাগুলো একদম ঠিক, যেমন আফিফ বড় টিমের বিপক্ষে তেমন ভালো পারফর্ম করতে পারেনি। আফিফ তার আন্তর্জাতিক ক্যারিয়ারে দুবাই, জিম্বাবুয়ে, আফগানিস্তান ছাড়া অন্য কোনো দেশের বিপক্ষে ভালো খেলতে পারেনি।","রাইট-ঠিক, নাই-পারেনি, তার ভালো পারফরম্যান্স নাই-তেমন ভালো পারফর্ম করতে পারেনি, ইন্টারন্যাশনাল-আন্তর্জাতিক, দোবাই-দুবাই, তা ছাড়া কোন-ছাড়া অন্য কোনো।"
-m8yrtD3Ak8,Farjana Drawing Academy,2017-03-13T14:36:50Z,How to draw scenery of Language Movement Step by step || Art video, Miscellaneous,সুন্দর ছবি এঁকে আমিস্কুলে পুরস্কার পেয়েছে ধন্যবাদ,1,Multiple Errors,সুন্দর ছবি এঁকে আমি বিদ্যালয়ে পুরস্কার পেয়েছি ধন্যবাদ,"সুন্দর ছবি এঁকে আমি স্কুলে পুরস্কার পেয়েছি, ধন্যবাদ।","আমিস্কুলে-আমি স্কুলে, পেয়েছে-পেয়েছি, ধন্যবাদ শুরুতে না হয়ে বাক্যের শেষে হওয়া বেশি স্বাভাবিক।"
0wi_cilEUlY,ATN Bangla News,2023-05-25T14:01:33Z,নতুন নতুন প্রতারনা আর এদেশের নারী প্রধান টার্গেট নাইজেরিয়ানদের। Nigeria | cheating | ATN Bangla News,News,আমরা বিদেশে  মরতেসি কষ্ট  করে আর তারা আমাদের দেশে এসে এইবস করে তাদেরকে কেনো কোনো পদেক কেপ নেয়া হয় না কেনো,1,Multiple Errors,আমরা বিদেশে মরছি কষ্ট  করে আর তারা আমাদের দেশে এসে এই সব করে তাদের কেনো কোনো পদক্ষেপ নেয়া হয় না কেনো,"আমরা বিদেশে মরছি কষ্ট করে, আর তারা আমাদের দেশে এসে ফূর্তি করে। তাদেরকে কেন কোনো পদেক্ষেপ নেয়া হয় না?","মরতেসি-মরছি, এইবস-ফূর্তি, পদেক-পদক্ষেপ, কেনো-কেন।"
j-N2SXV3SvY,CD Choice Music,2019-08-07T05:57:49Z,Mon Pinjira | মন পিঞ্জিরা | Rakib Musabbir | Shilpi Biswas | Official Music Video | Bangla Hits Song,Entertainment ,"ভালোবাসা আসলেই সুন্দর কাউকে হাসায় আবার কাউকে কাদায়,,😊😊 ভালোবাসা সবার জন্য হয় না 😊😊,,",1,Spelling,"ভালোবাসা আসলেই সুন্দর কাউকে হাসায় আবার কাউকে কাঁদায়,,😊😊 ভালোবাসা সবার জন্য হয় না 😊😊,,","ভালোবাসা আসলেই সুন্দর, কাউকে হাসায় আবার কাউকে কাঁদায়। ভালোবাসা সবার জন্য নয়। 😊😊","কাদায়,, - কাঁদায়।, হয় না 😊😊,, - নয়। and added commas for better readability."
fiv-bH2i6SQ,Channel 24,2018-10-03T06:12:47Z,এবারও বিতর্ক মিস ওয়ার্ল্ড বাংলাদেশ প্রতিযোগিতা নিয়ে,Entertainment,সম্মানী নারীকে সুন্দরী প্রতিযোগিতার নামে সস্তা করে দিচ্ছে সমাজ।     আর নারীরাও সেই ফাদে পা দিতেছে।,1,Spelling,সম্মানী নারীকে সুন্দরী প্রতিযোগিতার নামে সস্তা করে দিচ্ছে সমাজ।     আর নারীরাও সেই ফাঁদে পা দিচ্ছে।,"সম্মানীয় নারীদের সুন্দরী প্রতিযোগিতার নামে সস্তা করে দিচ্ছে সমাজ, আর নারীরাও সেই ফাঁদে পা দিচ্ছে।","নারীকে-নারীদের, দিতেছে-দিচ্ছে, ফাদে-ফাঁদে।"
5N6Z4UIpkew,Channel 24,2020-12-27T13:50:50Z,দুলাভাইয়ের বদৌলতে শ্যালিকার ৫০০ কোটি টাকার সম্পদ!,News,আর এ দিকে আমার শালি আমার কাছে একটা মোবাইল চাইছে দিতে না পেরে নিজের নাম্বার বন্ধ করে রাখা আমি 😂,1,Spelling,আর এ দিকে আমার শালী আমার কাছে একটা মোবাইল চেয়েছে দিতে না পেরে নিজের নাম্বার বন্ধ করে রাখা আমি 😂,"আর এদিকে আমার শালি আমার কাছে একটা মোবাইল চাইছে, দিতে না পেরে নিজের নম্বর বন্ধ করে রেখেছে, আমি 😂।","এ দিকে-এদিকে, চাইছে দিতে-চাইছে, দিতে, রাখা-রেখেছে, রাখা আমি-রেখেছে, আমি।"
cThNvo2Dnno,BBC News বাংলা,2017-12-22T10:51:08Z,যশোরে গ্রামবাসীরা তৈরি করছে হাজার ফুট দীর্ঘ ভাসমান সেতু| BBC News Bangla,News,মানুষের টেকনিকের কোন শেষ নেই।সত্যি প্রশংসনীয় কাজ।,1,Code Switching,মানুষের কৌশলের কোন শেষ নেই।সত্যি প্রশংসনীয় কাজ।,মানুষের টেকনিকের কোনো শেষ নেই। সত্যিই প্রশংসনীয় কাজ।,"কোন - কোনো, সত্যি-সত্যিই।"
8epTjLvH8wQ,Boishakhi Tv News,2023-09-04T03:32:55Z,নাটোরে চতুর্থ শ্রেণির ছাত্রী মা হয়েছে,News,ডিএনএ টেস্টের মাধ্যমে আসল অপরাধী শনাক্ত করে উপযুক্ত বিচার করা হোক,1,Code Switching,ডিএনএ পরীক্ষার মাধ্যমে আসল অপরাধী শনাক্ত করে উপযুক্ত বিচার করা হোক,ডিএনএ টেস্টের মাধ্যমে আসল অপরাধীকে শনাক্ত করে উপযুক্ত বিচার করা হোক।,অপরাধী-অপরাধীকে।
QFR7mDXc1lA,Channel 24,2023-07-29T06:46:28Z,বিএনপির হামলার পর যা বললেন পুলিশের ঊর্ধ্বতন কর্মকর্তা | BNP | DMP | Channel 24,Politics,কেউ কারো জোন্নো হাশোরের মাঠে সাহাজ্য কোরবেনা তাই কেউ অন্নায় কোরবেন্না,1,Spelling,কেউ কারো জন্য হাশোরের মাঠে সাহায্য করবেনা  তাই কেউ অন্যায় করবেননা ,"কেউ কারো জন্য হাশরের মাঠে সাহায্য করবে না, তাই কেউ অন্যায় কোরো না/করবেন না।","জোন্নো-জন্য, সাহাজ্য-সাহায্য, কোরবেনা-করবে না, অন্নায়-অন্যায়, কোরবেন্না-কোরো না/করবেন না।"
ZB08NmCG3ro,SOMOY TV,2021-12-22T03:36:45Z,প্রতারণার ফাঁদে পা দিয়ে বহু নারী হারিয়েছেন লাখ লাখ টাকা | Dhaka News | Somoy TV,News,আসসালামু আলাইকুম আসুন সবাই পাঁচ ওয়াক্ত নামাজ পরি নিজেকে পরিবর্তন করি,1,Spelling,আসসালামু আলাইকুম আসুন সবাই পাঁচ ওয়াক্ত নামাজ পড়ি নিজেকে পরিবর্তন করি,"আসসালামু আলাইকুম, আসুন সবাই পাঁচ ওয়াক্ত নামাজ পড়ি, নিজেকে পরিবর্তন করি।","পরি - পড়ি, আসুন - আসুন।"
50VnG2dPLDc,DBC NEWS,2023-12-09T14:20:11Z,সিন্দুকে পাওয়া গেল ২৩ বস্তা টাকা | DBC NEWS Special,News,জ্ঞানের অভাবে ভুগতেছে এই মানুষগুলো,1,Spelling,জ্ঞানের অভাবে ভুগছে এই মানুষগুলো,জ্ঞানের অভাবে ভুগছে এই মানুষগুলো।,ভুগতেছে - ভুগছে।
