Video ID,Channel name ,Time of Publishing,Title,Genre,Comment,corrected_text,generated_reason
bj-yxJw6pV4,Rtv Drama,2023-09-11T11:00:10Z,"Bhalobashar Rong | ভালোবাসার রং | Mumtaheena Toya, Shamol Mawla | Bangla New Natok 2023 | Rtv Drama",Entertainment,ভালোবাসার মানুষটাকে অবহেলা করলে।সে এক সময় পাথরে পরিনত হয় আর তখন সেই অবহেলা একটা মানুষ কে ভিতর থেকে শেষ করে দেয় 😭😭😭😭,"ভালোবাসার মানুষটাকে অবহেলা করলে, সে এক সময় পাথরে পরিণত হয়, আর তখন সেই অবহেলা একটা মানুষকে ভিতর থেকে শেষ করে দেয়। 😭😭😭😭","পরিনত-পরিণত, কে-কে।"
6TC9FEID7xQ,Suranjoli,2023-06-15T06:54:06Z,ছেলেটা সবার ক্রাশ | Miraz Khan | Arohi Mim | Bangla Natok 2023,Entertainment,বাংলা নাটকের পাশে থাকার জন্য সবাইকে অসংখ্য ধন্যবাদ ভালোবাসা অবিরাম প্রিয় বন্ধুরা 💖💖💖,"বাংলা নাটকের পাশে থাকার জন্য সবাইকে অসংখ্য ধন্যবাদ, ভালোবাসা অবিরাম, প্রিয় বন্ধুরা।","ভালোবাসা অবিরাম-ভালোবাসা অবিরাম,, প্রিয়-প্রিয়।"
iK0gXMW_zPc,SOMOY TV,2023-10-09T09:45:09Z,ইসরাইলের সার্বভৌমত্ব রক্ষার হাতিয়ার লেজার উইপন? এগিয়ে কোন দেশ? | দৃশ্যপট | Israel-Palestine War,News,খুবই সুন্দর অজানা তথ্য ভিত্তিক একটি  প্রতিবেদন। অসংখ্য অসংখ্য ধন্যবাদ আপনাকে।,খুবই সুন্দর অজানা তথ্যভিত্তিক একটি প্রতিবেদন। অসংখ্য ধন্যবাদ আপনাকে।,অসংখ্য অসংখ্য - অসংখ্য।
Lg7NmCH8f_k,Chorki,2022-04-02T13:00:12Z,Pett Kata Shaw - ষ | Official Trailer | Chorki Original Series | Nuhash | Chanchal | Pritom | Shohel,Entertainment,নুহাশ হুমায়ুন মানেই অন্যকিছু 🔥,নুহাশ হুমায়ুন মানেই অন্য কিছু!,"কিছু-কিছু!, 🔥-!"
2QbPe-Zm37s,ATN News,2022-10-28T16:00:01Z,কারাগারে প্রেম? | Onusondhan O Somadhan | Crime Investigation News | ATN News,News,খাবার দিলেও টাকা দিতে হয় ও জেলের ভিতরে দোকানে খাবারের দাম বাহিরের থেকে পাঁচ গুন বেশি সেটা নিয়ে একটা প্রতিবেদন করুন,"খাবার দিলেও টাকা দিতে হয় এবং জেলের ভিতরের দোকানে খাবারের দাম বাহিরের থেকে পাঁচ গুণ বেশি, সেটা নিয়ে একটি প্রতিবেদন করুন।","ও-এবং, ভিতরে-ভিতরের, গুন-গুণ, একটা-একটি."
MvbllbUzs8I,Family Entertainment Bd,2023-08-13T08:00:09Z,ঘাড়ত্যাড়া বাড়িওয়ালা | Desi Bariwala | Bangla Funny Video | Family Entertainment bd | Desi Cid |,Entertainment,রাকিব ভাইয়ের অভিনয় কার কার ভালো লাগে 👍👍,রাকিব ভাইয়ের অভিনয় কার কার ভালো লাগে 👍👍,No changes needed.
IMzROjrQ4l0,Fagun Audio Vision,2023-07-29T15:59:38Z,Ityadi - ইত্যাদি | Munshiganj Episode - July 2023 | Hanif Sanket,Entertainment,অপেক্ষা করতে করতে আজ দেখে চরম ভাল লাগলো 💜💜,অপেক্ষা করতে করতে আজ দেখে চরম ভালো লাগলো। 💜💜,ভাল-ভালো।
_EsSfTK06pc,Pinaki Bhattacharya,2024-01-17T13:05:49Z,হোক পালটা আঘাত || Pinaki Bhattacharya || The Untold,Miscellaneous,পিনাকী ভট্টাচার্য কে বাংলাদেশ সমান শ্রদ্ধা 🥰,পিনাকী ভট্টাচার্যকে বাংলাদেশ সমানভাবে শ্রদ্ধা করে।,"সমান-সমানভাবে, শ্রদ্ধা-শ্রদ্ধা করে।"
M0PBLjCaGNk,NTV Bangla FUN,2019-10-02T10:45:43Z,ভাইভা দিতে গিয়ে উল্টো ভাইভা নিলেন মোশাররফ,Entertainment,বাস্তব জীবন থেকে নেওয়া 🙂,বাস্তব জীবন থেকে নেওয়া।,নেওয়া - নেওয়া।
PfHxLcgVaxE,BBC News বাংলা,2021-05-30T14:15:51Z,জিয়াউর রহমান: বিএনপির প্রতিষ্ঠাতা ও সাবেক রাষ্ট্রপতির মৃতদেহের খোঁজ মিলে যেভাবে | BBC Bangla,News,আল্লাহ জিয়াউর রহমান কে জান্নাত এর উচ্চ মাকাম দান করুক🤲🏼,আল্লাহ জিয়াউর রহমানকে জান্নাতের উচ্চ মাকাম দান করুন। 🤲🏼,এর - এর/এ-এ; কে-কে; করুক-করুন।
